transaction_id,amount,currency,category,timestamp
t001,125.50,USD,Electronics,2024-01-15 10:23:45
t002,45.99,USD,Groceries,2024-01-15 11:05:12
t003,890.00,USD,Travel,2024-01-15 14:30:00
t004,23.75,USD,Food,2024-01-15 12:15:33
t005,156.80,USD,Clothing,2024-01-15 16:45:22
t006,67.25,USD,Entertainment,2024-01-16 09:10:05
t007,234.99,USD,Electronics,2024-01-16 11:22:18
t008,89.50,USD,Health,2024-01-16 14:05:45
t009,12.99,USD,Food,2024-01-16 08:30:12
t010,445.00,USD,Travel,2024-01-16 15:20:00
t011,78.25,USD,Groceries,2024-01-17 10:15:33
t012,199.99,USD,Electronics,2024-01-17 13:45:22
t013,34.50,USD,Entertainment,2024-01-17 18:10:05
t014,567.80,USD,Travel,2024-01-17 09:22:18
t015,45.25,USD,Food,2024-01-17 12:05:45
t016,123.00,USD,Clothing,2024-01-18 11:30:12
t017,89.99,USD,Health,2024-01-18 14:20:00
t018,256.50,USD,Electronics,2024-01-18 16:15:33
t019,67.75,USD,Groceries,2024-01-18 09:45:22
t020,34.99,USD,Entertainment,2024-01-18 19:10:05
t021,789.00,USD,Travel,2024-01-19 08:22:18
t022,145.25,USD,Clothing,2024-01-19 11:05:45
t023,23.50,USD,Food,2024-01-19 13:30:12
t024,178.99,USD,Electronics,2024-01-19 15:20:00
t025,56.75,USD,Health,2024-01-19 10:15:33
t026,89.00,USD,Groceries,2024-01-20 12:45:22
t027,345.50,USD,Travel,2024-01-20 14:10:05
t028,78.25,USD,Entertainment,2024-01-20 17:22:18
t029,234.00,USD,Electronics,2024-01-20 09:05:45
t030,45.99,USD,Food,2024-01-20 11:30:12
t031,167.80,USD,Clothing,2024-01-21 13:20:00
t032,89.50,USD,Health,2024-01-21 15:15:33
t033,456.25,USD,Travel,2024-01-21 08:45:22
t034,34.75,USD,Groceries,2024-01-21 10:10:05
t035,123.99,USD,Electronics,2024-01-21 12:22:18
t036,56.00,USD,Entertainment,2024-01-22 14:05:45
t037,278.50,USD,Clothing,2024-01-22 16:30:12
t038,67.25,USD,Food,2024-01-22 09:20:00
t039,189.99,USD,Health,2024-01-22 11:15:33
t040,890.00,USD,Travel,2024-01-22 13:45:22
t041,45.50,USD,Groceries,2024-01-23 15:10:05
t042,234.75,USD,Electronics,2024-01-23 08:22:18
t043,78.00,USD,Entertainment,2024-01-23 10:05:45
t044,156.25,USD,Clothing,2024-01-23 12:30:12
t045,34.99,USD,Food,2024-01-23 14:20:00
t046,567.50,USD,Travel,2024-01-24 16:15:33
t047,89.75,USD,Health,2024-01-24 09:45:22
t048,145.00,USD,Electronics,2024-01-24 11:10:05
t049,56.25,USD,Groceries,2024-01-24 13:22:18
t050,23.99,USD,Food,2024-01-24 15:05:45
t051,345.80,USD,Clothing,2024-01-25 08:30:12
t052,78.50,USD,Entertainment,2024-01-25 10:20:00
t053,456.00,USD,Travel,2024-01-25 12:15:33
t054,67.75,USD,Health,2024-01-25 14:45:22
t055,189.25,USD,Electronics,2024-01-25 16:10:05
t056,45.00,USD,Groceries,2024-01-26 09:22:18
t057,234.50,USD,Clothing,2024-01-26 11:05:45
t058,89.99,USD,Food,2024-01-26 13:30:12
t059,678.25,USD,Travel,2024-01-26 15:20:00
t060,34.50,USD,Entertainment,2024-01-26 17:15:33
t061,156.00,USD,Electronics,2024-01-27 08:45:22
t062,78.75,USD,Health,2024-01-27 10:10:05
t063,123.25,USD,Groceries,2024-01-27 12:22:18
t064,567.99,USD,Travel,2024-01-27 14:05:45
t065,45.50,USD,Food,2024-01-27 16:30:12
t066,289.00,USD,Clothing,2024-01-28 09:20:00
t067,67.25,USD,Entertainment,2024-01-28 11:15:33
t068,178.50,USD,Electronics,2024-01-28 13:45:22
t069,89.75,USD,Health,2024-01-28 15:10:05
t070,456.00,USD,Travel,2024-01-28 17:22:18
t071,34.25,USD,Groceries,2024-01-29 08:05:45
t072,145.99,USD,Clothing,2024-01-29 10:30:12
t073,56.50,USD,Food,2024-01-29 12:20:00
t074,234.00,USD,Electronics,2024-01-29 14:15:33
t075,78.75,USD,Entertainment,2024-01-29 16:45:22
t076,789.25,USD,Travel,2024-01-30 09:10:05
t077,67.00,USD,Health,2024-01-30 11:22:18
t078,123.50,USD,Groceries,2024-01-30 13:05:45
t079,189.99,USD,Clothing,2024-01-30 15:30:12
t080,45.25,USD,Food,2024-01-30 17:20:00
t081,345.00,USD,Electronics,2024-01-31 08:15:33
t082,89.50,USD,Entertainment,2024-01-31 10:45:22
t083,567.75,USD,Travel,2024-01-31 12:10:05
t084,34.00,USD,Health,2024-01-31 14:22:18
t085,156.25,USD,Groceries,2024-01-31 16:05:45
t086,78.99,USD,Clothing,2024-02-01 09:30:12
t087,234.50,USD,Food,2024-02-01 11:20:00
t088,456.00,USD,Electronics,2024-02-01 13:15:33
t089,67.75,USD,Entertainment,2024-02-01 15:45:22
t090,890.25,USD,Travel,2024-02-01 17:10:05
t091,45.00,USD,Health,2024-02-02 08:22:18
t092,123.75,USD,Groceries,2024-02-02 10:05:45
